year,coal,oil,gas
1951,0.28626,0.10955696,0.028926652
1952,0.2828211,0.11593345,0.031091705
1953,0.28532448,0.12346512,0.033005573
1954,0.28522298,0.13142149,0.034868434
1955,0.30882454,0.14651458,0.038046166
1956,0.32469732,0.15913837,0.040788945
1957,0.33083978,0.16544436,0.04482916
1958,0.33597058,0.17398258,0.04885041
1959,0.34955963,0.18612501,0.052446954
1960,0.3626594,0.19953464,0.057693113
1961,0.34748635,0.21084535,0.060935948
1962,0.34639242,0.22771056,0.06691592
1963,0.3604223,0.24467675,0.072476566
1964,0.36696568,0.26333332,0.079817295
1965,0.37295052,0.28430206,0.085257985
1966,0.3762495,0.30621272,0.0928481
1967,0.37017697,0.32665473,0.09940092
1968,0.3739932,0.3568773,0.10830078
1969,0.3878952,0.3873326,0.11874978
1970,0.40057203,0.4433602,0.12446473
1971,0.40057638,0.4693749,0.13444622
1972,0.40016448,0.50654733,0.142734
1973,0.41114637,0.542228,0.14844409
1974,0.4117592,0.5366548,0.15159413
1975,0.42068982,0.53222907,0.15242894
1976,0.43940148,0.56200385,0.16140953
1977,0.45112434,0.58332914,0.16442245
1978,0.46493948,0.60587573,0.1730496
1979,0.4821612,0.61571723,0.18282937
1980,0.49652073,0.5934062,0.18832338
1981,0.49322122,0.56545275,0.19066195
1982,0.50287,0.55399495,0.18656433
1983,0.51817864,0.5501285,0.18969105
1984,0.54041976,0.5526962,0.20503762
1985,0.5801942,0.55306405,0.21358864
1986,0.5872968,0.56862485,0.20925726
1987,0.60884327,0.57871246,0.22690216
1988,0.62984556,0.5990289,0.23809753
1989,0.63178223,0.60935205,0.25066546
1990,0.6092101,0.5929003,0.2600956
1991,0.60055983,0.6287765,0.27033776
1992,0.60230094,0.59156513,0.27783817
1993,0.6047385,0.59499454,0.28502563
1994,0.6122993,0.5909751,0.28585118
1995,0.6252143,0.59571093,0.29466417
1996,0.6420175,0.60946304,0.30664358
1997,0.6372973,0.61564445,0.30693373
1998,0.61124104,0.6209793,0.30929023
1999,0.61118567,0.6313919,0.3234929
2000,0.630593,0.6472877,0.33202317
2001,0.6349374,0.65150505,0.33399597
2002,0.64927775,0.64838934,0.3447146
2003,0.7099848,0.66680014,0.35570237
2004,0.7633747,0.68713295,0.36660555
2005,0.79677016,0.68829864,0.37706402
2006,0.84195375,0.6913651,0.38637605
2007,0.87229526,0.6906157,0.4032351
2008,0.89306766,0.69344586,0.41329372
2009,0.8936813,0.68895686,0.40548754
2010,0.9402825,0.7005751,0.43778902
2011,1.0,0.6950634,0.44711053
